Date,Timestamp_From,Timestamp_To,Exposure_Duration_Seconds,Channel,Ad Type,Brand_Name,Product,Category,Sector,Event Type,Placement Type,Frequency/Count
18-11-2025,11:39:32,11:39:43,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Stadium Banner,1
18-11-2025,11:39:32,11:39:43,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Ground,1
18-11-2025,11:39:32,11:39:43,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:39:32,11:39:43,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,11:39:32,11:39:43,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Omoda Jaecoo,Electric Vehicles,Automobile-EV,Automobile,,Ground,1
18-11-2025,11:39:32,11:39:43,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ashok Leyland,Trucks,Automobile-Trucks,Automobile,,Ground,1
18-11-2025,11:39:49,11:40:10,22,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Stadium Banner,1
18-11-2025,11:39:49,11:40:10,22,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Ground,1
18-11-2025,11:39:49,11:40:10,22,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:39:49,11:40:10,22,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,11:39:49,11:40:10,22,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Omoda Jaecoo,Electric Vehicles,Automobile-EV,Automobile,,Ground,1
18-11-2025,11:39:49,11:40:15,27,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ashok Leyland,Trucks,Automobile-Trucks,Automobile,,Ground,1
18-11-2025,11:40:14,11:40:16,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Omoda Jaecoo,Electric Vehicles,Automobile-EV,Automobile,,Ground,1
18-11-2025,11:40:14,11:40:16,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,11:40:14,11:40:16,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:40:14,11:40:16,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Ground,1
18-11-2025,11:40:14,11:40:16,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Stadium Banner,1
18-11-2025,11:40:17,11:40:20,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ashok Leyland,Trucks,Automobile-Trucks,Automobile,,Stadium Banner,1
18-11-2025,11:40:22,11:40:30,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Stadium Banner,1
18-11-2025,11:40:23,11:40:30,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,Ground,1
18-11-2025,11:40:23,11:40:30,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,Ground,1
