Date,Timestamp_From,Timestamp_To,Brand_Name,Exposure_Duration_Seconds,Channel,Ad Type,Category,Product,Sector,Event Type,Placement Type,Frequency/Count
18-11-2025,15:46:13,15:46:20,Ashok Leyland,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile,Ashok Leyland,Automobile,,Ground,1
18-11-2025,15:46:24,15:46:33,Ashok Leyland,10,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile,Ashok Leyland,Automobile,,Ground,1
18-11-2025,15:46:54,15:46:56,Xtreme,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,15:47:04,15:47:11,XEP Nepal,13,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Shoes,XEP,Lifestyle,,Boundary Board,1
18-11-2025,15:47:38,15:47:40,Xtreme,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,15:47:50,15:48:02,PLO Lubricants,18,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,15:48:12,15:48:25,PLO Lubricants,19,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,15:48:34,15:48:37,XEP Nepal,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Shoes,XEP,Lifestyle,,Boundary Board,1
18-11-2025,15:48:39,15:48:45,XEP Nepal,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Shoes,XEP,Lifestyle,,Boundary Board,1
18-11-2025,15:48:46,15:48:50,Happydent,10,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Food & Beverages,Happydent,FMCG,,Boundary Board,1
18-11-2025,15:48:51,15:48:54,Presidential Graduate School,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Higher Education,Presidential Graduate School,Education,,Boundary Board,1
18-11-2025,15:49:08,15:49:08,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:49:18,15:49:18,Siddhartha Bank,13,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,15:49:32,15:49:32,Ncell,12,Kantipur Max TV,COMMERCIAL_BREAK,Mobile Network,Data Pack,Telecommunication,,,1
18-11-2025,15:49:45,15:49:45,Red Bull,5,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:49:51,15:49:51,Asianpaints,16,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,15:50:08,15:50:08,Bajaj,7,Kantipur Max TV,COMMERCIAL_BREAK,Automobile,Pulsar,Automobile,,,1
18-11-2025,15:50:16,15:50:16,Wai Wai,4,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Quick Instant Noodles,FMCG,,,1
18-11-2025,15:50:21,15:50:21,Meizan,9,Kantipur Max TV,COMMERCIAL_BREAK,Edible Oil & Cooking Essential,Cooking Oil,FMCG,,,1
18-11-2025,15:50:31,15:50:31,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:50:41,15:50:41,Spil,9,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Motor Insurance,Finance/Insurance,,,1
18-11-2025,15:50:51,15:50:51,Ncell,13,Kantipur Max TV,COMMERCIAL_BREAK,Mobile Network,Data Pack,Telecommunication,,,1
18-11-2025,15:51:05,15:51:05,Red Bull,4,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:51:10,15:51:10,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:51:16,15:51:16,ElectriVa,16,Kantipur Max TV,COMMERCIAL_BREAK,EV Infrastructure,EV Charging Network,Automobile,,,1
18-11-2025,15:51:33,15:51:33,Bajaj,3,Kantipur Max TV,COMMERCIAL_BREAK,Automobile,Pulsar,Automobile,,,1
18-11-2025,15:51:37,15:51:37,Asianpaints,14,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,15:51:52,15:51:52,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:51:58,15:51:58,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,15:52:03,15:52:03,Wai Wai,4,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Quick Instant Noodles,FMCG,,,1
18-11-2025,15:52:08,15:52:08,Siddhartha Bank,4,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,15:52:13,15:52:13,Bajaj,4,Kantipur Max TV,COMMERCIAL_BREAK,Automobile,Pulsar,Automobile,,,1
18-11-2025,15:52:18,15:52:18,Nemato Tiles,10,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Tiles,Industrial,,,1
18-11-2025,15:52:29,15:52:29,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:52:34,15:52:34,Devil's Noodles,9,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Spicy Chicken Noodles,FMCG,,,1
18-11-2025,15:52:44,15:52:44,Sonam,14,Kantipur Max TV,COMMERCIAL_BREAK,Bags,college and travel Bags,Lifestyle,,,1
18-11-2025,15:52:59,15:52:59,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:53:04,15:53:04,Xtreme,32,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:53:37,15:53:37,Nepal Life Insurance,6,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:53:44,15:53:44,Bajaj,13,Kantipur Max TV,COMMERCIAL_BREAK,Automobile,Pulsar,Automobile,,,1
18-11-2025,15:53:58,15:53:58,United Cement,4,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Cement,Industrial,,,1
18-11-2025,15:54:03,15:54:03,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:54:13,15:54:13,Asianpaints,29,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,15:54:43,15:54:43,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:54:48,15:54:48,Wai Wai,29,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Quick Instant Noodles,FMCG,,,1
18-11-2025,15:55:18,15:55:18,Meizan,8,Kantipur Max TV,COMMERCIAL_BREAK,Edible Oil & Cooking Essential,Cooking Oil,FMCG,,,1
18-11-2025,15:55:27,15:55:27,Sunfeast,16,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Dark Fantasy,FMCG,,,1
18-11-2025,15:55:44,15:55:44,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:55:54,15:55:54,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:56:00,15:56:00,Presidential Graduate School,14,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Educational Courses,Education,,,1
18-11-2025,15:56:15,15:56:15,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,15:56:20,15:56:20,United Cement,4,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Cement,Industrial,,,1
18-11-2025,15:56:25,15:56:25,Embark College,15,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Graduational Courses,Education,,,1
18-11-2025,15:56:41,15:56:41,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:56:51,15:56:51,Sunfeast,9,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Dark Fantasy,FMCG,,,1
18-11-2025,15:57:01,15:57:01,Nepal Life Insurance,6,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:57:08,15:57:08,Yeti Carpet,29,Kantipur Max TV,COMMERCIAL_BREAK,Home Decor,Carpets,Home Furnishing,,,1
18-11-2025,15:57:38,15:57:38,KIEC,11,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Education centre,Education,,,1
18-11-2025,15:57:50,15:57:50,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:58:03,15:58:03,Bajaj,11,Kantipur Max TV,COMMERCIAL_BREAK,Automobile,Pulsar,Automobile,,,1
18-11-2025,15:58:16,15:58:16,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:58:21,15:58:21,MIT,15,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,College,Education,,,1
18-11-2025,15:58:37,15:58:37,Nepatop,10,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Water Tank & Pipes,Industrial,,,1
18-11-2025,15:58:48,15:58:48,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,15:58:58,15:58:58,Somany Tiles and Bathware,24,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Tiles and Bathware,Industrial,,,1
18-11-2025,15:59:23,15:59:23,KFC,12,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Crunchy Chicken,FMCG,,,1
18-11-2025,15:59:36,15:59:36,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,15:59:41,15:59:41,Meizan,8,Kantipur Max TV,COMMERCIAL_BREAK,Edible Oil & Cooking Essential,Cooking Oil,FMCG,,,1
18-11-2025,15:59:50,15:59:50,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
